Project ID,Description,Url
167,,https://www.gov.kz//uploads/2024/1/8/eb98a7ad40be2ac12c949b667b4a7e32_original.56832.xls
9838,,https://www.gov.kz//uploads/2024/1/8/eb98a7ad40be2ac12c949b667b4a7e32_original.56832.xls
5772,,https://www.gov.kz//uploads/2024/1/8/eb98a7ad40be2ac12c949b667b4a7e32_original.56832.xls
5542,,https://www.gov.kz//uploads/2021/2/25/323903fc501d69d5ebb8c404fbf7999f_original.194048.doc
927,Телефонный справочник,https://www.gov.kz//uploads/2020/9/25/ba584743a80fecad0979755586033257_original.16914.docx
60,Телефонный справочник,https://www.gov.kz//uploads/2024/3/18/637724317ccf1eb5d4ea87b88e9c7ead_original.112640.doc
432,Справочник МТИ 2024 год,https://www.gov.kz//uploads/2024/3/4/b0b868ffa763096b6682054a8be0badb_original.40625.docx
1274,,https://www.gov.kz//uploads/2024/2/13/fde8ffd95a78952742652069ca44f05c_original.30722.docx
6803,,https://www.gov.kz//uploads/2023/11/21/3fee5c64396da148b6ac5ed51bdffa4d_original.22488.docx
6804,,https://www.gov.kz//uploads/2023/11/21/3fee5c64396da148b6ac5ed51bdffa4d_original.22488.docx
6802,,https://www.gov.kz//uploads/2023/11/21/3fee5c64396da148b6ac5ed51bdffa4d_original.22488.docx
6779,,https://www.gov.kz//uploads/2023/11/21/3fee5c64396da148b6ac5ed51bdffa4d_original.22488.docx
1275,,https://www.gov.kz//uploads/2023/11/21/3fee5c64396da148b6ac5ed51bdffa4d_original.22488.docx
6808,,https://www.gov.kz//uploads/2023/11/21/3fee5c64396da148b6ac5ed51bdffa4d_original.22488.docx
6805,,https://www.gov.kz//uploads/2023/11/21/3fee5c64396da148b6ac5ed51bdffa4d_original.22488.docx
14348,,https://www.gov.kz//uploads/2023/11/21/3fee5c64396da148b6ac5ed51bdffa4d_original.22488.docx
209,Телефонный справочник,https://www.gov.kz//uploads/2023/9/14/ba2845544c285b572176c9efd2a57bba_original.50244.docx
1325,,https://www.gov.kz//uploads/2024/2/26/1e4f5cfa77ef916066c2c37916bf172e_original.20551.docx
9223,Справочник сотрудников,https://www.gov.kz//uploads/2023/12/20/ef1dcd0b25428cf7b3a8825f3591c58f_original.18153.docx
9215,Справочник сотрудников,https://www.gov.kz//uploads/2023/12/20/ef1dcd0b25428cf7b3a8825f3591c58f_original.18153.docx
9214,Справочник сотрудников,https://www.gov.kz//uploads/2023/12/20/ef1dcd0b25428cf7b3a8825f3591c58f_original.18153.docx
9213,Справочник сотрудников,https://www.gov.kz//uploads/2023/12/20/ef1dcd0b25428cf7b3a8825f3591c58f_original.18153.docx
9211,Справочник сотрудников,https://www.gov.kz//uploads/2023/12/20/ef1dcd0b25428cf7b3a8825f3591c58f_original.18153.docx
6629,"Положение Государственное учереждение ""Управление культуры, развития языков и архивов города Шымкент""",https://www.gov.kz//uploads/2021/8/10/5fba30218509c684e570fde0aeceaa77_original.8276261.docx
1349,,https://www.gov.kz//uploads/2024/1/5/2330368f281719aba5d7e17598b2099b_original.17063.docx
6620,План финансирования администратора бюджетных программ по платежам,https://www.gov.kz//uploads/2020/4/25/9e27a2a325bb5ec45083529234cebb2e_original.18228.xlsx
8321,Справочник сотрудников,https://www.gov.kz//uploads/2023/8/18/879e5bc977de9e05f27163ca8dc37e5b_original.22785.docx
4541,,https://www.gov.kz//uploads/2020/9/1/63321931c895889124e03b63d845ef2c_original.13977.docx
1351,,https://www.gov.kz//uploads/2023/12/26/3acb39e81b3808db2f126c9dba8dd04d_original.24092.docx
1326,Справочная информация сотрудников управления экономики и бюджетного планирования города Шымкент.,https://www.gov.kz//uploads/2023/11/22/8634a37f5ed757c65e8bf0b18337c76e_original.18170.docx
6433,Справочная информация сотрудников управления экономики и бюджетного планирования города Шымкент.,https://www.gov.kz//uploads/2023/11/22/8634a37f5ed757c65e8bf0b18337c76e_original.18170.docx
6395,Справочная информация сотрудников управления экономики и бюджетного планирования города Шымкент.,https://www.gov.kz//uploads/2023/11/22/8634a37f5ed757c65e8bf0b18337c76e_original.18170.docx
6431,Справочная информация сотрудников управления экономики и бюджетного планирования города Шымкент.,https://www.gov.kz//uploads/2023/11/22/8634a37f5ed757c65e8bf0b18337c76e_original.18170.docx
6435,Справочная информация сотрудников управления экономики и бюджетного планирования города Шымкент.,https://www.gov.kz//uploads/2023/11/22/8634a37f5ed757c65e8bf0b18337c76e_original.18170.docx
6432,Справочная информация сотрудников управления экономики и бюджетного планирования города Шымкент.,https://www.gov.kz//uploads/2023/11/22/8634a37f5ed757c65e8bf0b18337c76e_original.18170.docx
6436,Справочная информация сотрудников управления экономики и бюджетного планирования города Шымкент.,https://www.gov.kz//uploads/2023/11/22/8634a37f5ed757c65e8bf0b18337c76e_original.18170.docx
6437,Справочная информация сотрудников управления экономики и бюджетного планирования города Шымкент.,https://www.gov.kz//uploads/2023/11/22/8634a37f5ed757c65e8bf0b18337c76e_original.18170.docx
6438,Справочная информация сотрудников управления экономики и бюджетного планирования города Шымкент.,https://www.gov.kz//uploads/2023/11/22/8634a37f5ed757c65e8bf0b18337c76e_original.18170.docx
1359,,https://www.gov.kz//uploads/2020/10/30/4ccf319326bea9656d160c4a4d51e919_original.57981.docx
1374,,https://www.gov.kz//uploads/2022/1/21/1d6dc2bf2f53bb882c5025bad79d894f_original.52881.docx
9937,,https://www.gov.kz//uploads/2022/1/21/1d6dc2bf2f53bb882c5025bad79d894f_original.52881.docx
13516,,https://www.gov.kz//uploads/2022/1/21/1d6dc2bf2f53bb882c5025bad79d894f_original.52881.docx
9889,,https://www.gov.kz//uploads/2022/1/21/1d6dc2bf2f53bb882c5025bad79d894f_original.52881.docx
1376,Справочник сотрудников и местных органов управления,https://www.gov.kz//uploads/2023/11/8/1ad6b18b91f06e61f5612c976b6b54de_original.231936.doc
1370,,https://www.gov.kz//uploads/2023/1/20/7e4ec14a39aed10d4940748c44381f2e_original.18810.docx
7023,,https://www.gov.kz//uploads/2021/1/3/da3dad17e96957f06552e35ddad27c46_original.27053.docx
1381,Справочник сотрудников акимата Карабалыкского района 2023 г.,https://www.gov.kz//uploads/2023/11/29/57182ca963a35abc527ea813db2a80d8_original.58212.rar
7373,Справочник сотрудников акимата Карабалыкского района,https://www.gov.kz//uploads/2021/1/2/b24dfd91fa36c25386fba8037dc3b467_original.51146.rar
9703,Справочник государственного учреждения,https://www.gov.kz//uploads/2023/12/14/d775a9b43bc61781e4d63b6cda7f870f_original.19496.docx
1387,Справочник государственного учреждения,https://www.gov.kz//uploads/2023/12/14/d775a9b43bc61781e4d63b6cda7f870f_original.19496.docx
1388,,https://www.gov.kz//uploads/2023/9/1/bcfa7f184ae37abfe7909e0faaac44be_original.34933.docx
15901,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
12558,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
10263,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
1358,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9797,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9801,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9799,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9800,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9796,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9798,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9795,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9794,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9793,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9792,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9791,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9790,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
9670,Список государственных служащих государственных органов акимата города Лисаковска,https://www.gov.kz//uploads/2021/2/24/c881d9544ab9108d41df658a098428b9_original.18927.xlsx
1391,Справочник сотрудников,https://www.gov.kz//uploads/2023/7/1/23662caa14f86b70d9c514a81b0c1254_original.29397.docx
6923,,https://www.gov.kz//uploads/2021/3/25/144731d0bd5dd9db1e12dd620f7e492f_original.32998.rar
6927,,https://www.gov.kz//uploads/2021/3/25/144731d0bd5dd9db1e12dd620f7e492f_original.32998.rar
6926,,https://www.gov.kz//uploads/2021/3/25/144731d0bd5dd9db1e12dd620f7e492f_original.32998.rar
4922,Справочный список сотрудников  ГУ «Аппарат Акима Токжайлауского сельского округа  Алакольского района»,https://www.gov.kz//uploads/2021/12/8/f981dde6fd3453732724330f4d16c685_original.12974.docx
4335,Справочный список сотрудников ГУ «Аппарата акима Ушаральского городского округа Алакольского района»,https://www.gov.kz//uploads/2021/12/28/a46f09c1e68410abdb9f4f6004e73c30_original.13186.docx
5495,"Справочный список сотрудников ГУ «Отдел строительства, архитектуры и градостроительства   Алакольского района»",https://www.gov.kz//uploads/2022/1/31/6c7c820497e5d259f1caab7e52c0de6f_original.14766.docx
6936,,https://www.gov.kz//uploads/2021/3/25/144731d0bd5dd9db1e12dd620f7e492f_original.32998.rar
4456,Справочный список сотрудников  ГУ «Аппарат Акима Достыкского сельского округа  Алакольского района»,https://www.gov.kz//uploads/2021/12/28/bbf9982a6da215d5c1c13e4648eebddb_original.17825.docx
4626,Справочный список сотрудников ГУ «Аппарат Акима Кызылащинского сельского округа  Алакольского района»,https://www.gov.kz//uploads/2021/12/24/c1071096e2bca5a5c6a8c7897532cf07_original.13303.docx
4431,Справочный список сотрудников  ГУ «Аппарат Акима Архарлинского сельского округа  Алакольского района»,https://www.gov.kz//uploads/2021/12/28/182bfcc68cec784e995caf806bc39cf8_original.15746.docx
4571,Справочный список сотрудников ГУ «Аппарат Акима Жайпакского сельского округа  Алакольского района»,https://www.gov.kz//uploads/2021/12/21/feb34d587be813a0dc209d9042e1e6a4_original.12946.docx
